,Tiket,Weights
2,LKOH.ME,0.06973977827002506
3,GAZP.ME,0.04418178530050316
5,NVTK.ME,0.013050352285099815
6,TATN.ME,0.009084545057266434
8,ROSN.ME,0.03876423601080437
10,SNGSP.ME,0.06458068368139618
13,ALRS.ME,0.008617216230649332
15,FIVE.ME,0.012841219697781162
25,RUAL.ME,0.015020331900448346
28,RTKMP.ME,0.02125294806030861
30,ENPL.ME,0.04098685246532206
34,RNFT.ME,0.003935960389332672
37,LNTA.ME,0.021680761812262337
40,MTLR.ME,0.0187680776791148
44,MVID.ME,0.027855873156549853
49,LSRG.ME,0.019054025424322073
55,MSNG.ME,0.030513605776156385
60,MGTSP.ME,0.005354422587852644
62,KBTK.ME,0.04223342128365588
63,TGKA.ME,0.11063301481448992
64,QIWI.ME,0.005506446143897584
65,NKNCP.ME,0.021952067460558396
66,IRGZ.ME,0.028853509468256485
67,PRTK.ME,0.014679792247832295
68,MRKC.ME,0.0006097365982874975
75,NKHP.ME,0.027242678143221725
76,MRKU.ME,0.030219950135692175
80,MRKZ.ME,0.025463694874915392
81,MSTT.ME,0.060011611375260066
83,GAZAP.ME,0.022951049477884965
84,LNZL.ME,0.023578550643185526
85,LNZLP.ME,0.005531605072531449
91,APTK.ME,0.007119868231883805
92,CNTLP.ME,0.05347193200858532
93,CHMK.ME,0.02528047420573602
95,BRZL.ME,0.005816459649764546
96,TTLK.ME,0.004156850599355133
97,AMEZ.ME,0.01933090629195441
